Application mode;Course;Tuition fees up to date;Age at enrollment;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Output
12;12;1;24;8;7;1,27429E+16;8;7;1,27429E+16;Graduate
1;12;1;19;7;7;11975;8;7;1,31286E+15;Graduate
14;7;1;18;5;4;45992;5;3;1,16667E+16;Enrolled
8;2;0;20;0;0;0.0;0;0;0.0;Dropout
1;12;1;19;8;7;1,49357E+16;8;7;1,49357E+16;Graduate
14;11;1;19;6;2;45787;6;4;10.0;Dropout
1;14;1;19;6;5;1,33333E+16;6;5;13.0;Graduate
14;4;1;23;6;0;0.0;6;0;0.0;Dropout
12;15;1;47;6;5;45882;6;4;14.0;Dropout
1;5;1;19;6;6;1,18333E+16;6;4;27668;Graduate
1;2;1;19;0;0;0.0;0;0;0.0;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Dropout
14;9;1;28;5;2;10.0;5;0;0.0;Dropout
14;11;1;20;6;4;45788;6;3;1,16667E+16;Dropout
8;11;1;18;6;3;1,06667E+16;6;4;12.0;Enrolled
1;2;1;21;0;0;0.0;0;0;0.0;Graduate
1;11;1;19;6;4;27729;6;2;13.0;Enrolled
12;11;0;24;6;0;0.0;6;0;0.0;Dropout
12;8;1;24;6;6;1,13333E+16;6;3;1,13333E+16;Enrolled
12;6;0;25;6;0;0.0;6;0;0.0;Enrolled
12;11;1;28;6;6;13.0;6;5;45700;Graduate
12;17;1;37;5;4;27668;5;3;1,13333E+16;Enrolled
14;7;1;19;5;5;12.0;5;2;45787;Enrolled
8;12;1;18;7;7;1,34629E+16;8;8;1390625;Graduate
12;11;1;48;6;3;10.0;6;1;10.0;Dropout
8;10;1;21;6;6;1,23333E+16;6;6;1,36667E+16;Graduate
8;12;1;19;7;6;1,25286E+16;7;6;1,24167E+16;Enrolled
14;12;1;21;8;0;0.0;8;0;0.0;Enrolled
15;7;0;23;5;0;0.0;5;0;0.0;Dropout
1;8;1;18;5;5;45821;5;4;13.25;Graduate
15;10;1;22;6;6;1,23333E+16;6;2;14.0;Dropout
7;2;1;25;13;10;1,14545E+16;11;7;45992;Dropout
4;6;1;27;13;8;45790;11;5;45761;Dropout
12;7;0;49;5;0;0.0;5;0;0.0;Dropout
12;17;0;31;5;2;11.0;5;0;0.0;Dropout
12;11;1;54;6;6;1,37143E+16;6;5;1,43333E+16;Dropout
4;1;0;25;21;21;1,23636E+16;16;12;45992;Dropout
15;4;1;20;7;3;1,06667E+16;6;2;45788;Enrolled
4;5;1;28;6;2;12.0;6;3;1,26667E+16;Dropout
12;3;1;41;7;7;1,28571E+16;6;6;1,31667E+16;Graduate
1;14;1;19;6;6;13125;6;6;1,27143E+16;Enrolled
14;9;1;22;5;0;0.0;5;2;45788;Dropout
1;11;1;34;6;2;45790;6;0;0.0;Dropout
12;4;0;28;11;11;1,50909E+16;10;10;15.0;Dropout
1;16;1;42;6;5;45759;6;5;45880;Enrolled
9;6;0;21;6;5;14.0;6;4;45883;Enrolled
4;4;1;50;6;2;45790;6;1;13.0;Dropout
1;9;1;19;5;0;0.0;5;0;0.0;Dropout
14;12;1;18;7;4;24077;7;3;1,06667E+16;Dropout
12;17;1;59;5;0;0.0;5;0;0.0;Dropout
4;17;0;33;5;0;0.0;5;0;0.0;Dropout
8;5;1;23;6;6;1,33333E+16;6;5;45881;Graduate
12;17;1;44;5;3;1,13333E+16;5;5;1,11429E+16;Dropout
1;3;1;37;6;0;0.0;6;0;0.0;Dropout
12;2;1;36;0;0;0.0;0;0;0.0;Dropout
1;17;0;22;5;3;1,16667E+16;5;2;45787;Dropout
12;3;1;49;6;6;1,21667E+16;6;6;1,44286E+16;Graduate
16;15;1;23;6;6;1,33333E+16;6;4;27729;Graduate
1;5;1;19;6;5;45758;6;3;11.0;Enrolled
14;3;1;47;6;6;1,21429E+16;6;0;0.0;Dropout
14;4;1;28;18;17;1,30588E+16;12;12;1,23077E+16;Graduate
15;4;1;21;6;4;27699;6;4;45787;Enrolled
1;11;0;21;6;5;1,18333E+16;6;5;10.0;Dropout
14;10;1;21;11;10;45759;10;10;45880;Graduate
1;5;1;20;6;6;1,34286E+16;6;4;45788;Enrolled
13;9;0;49;5;0;0.0;5;0;0.0;Dropout
12;17;1;40;5;5;11.0;5;5;45760;Graduate
8;11;1;22;6;6;13625;6;6;1,44286E+16;Graduate
13;7;1;19;5;4;45880;5;2;45788;Enrolled
12;17;1;31;5;0;0.0;5;0;0.0;Dropout
13;7;1;30;6;2;15.0;6;2;45790;Dropout
1;10;1;19;6;5;45879;6;5;11.0;Graduate
9;9;1;22;5;3;1,36667E+16;5;3;1,13333E+16;Dropout
1;15;1;19;6;6;1,28333E+16;6;6;1,33333E+16;Graduate
8;2;0;21;0;0;0.0;0;0;0.0;Dropout
8;14;1;19;6;6;15125;6;6;1,34286E+16;Graduate
14;9;1;22;5;0;0.0;5;1;10.0;Dropout
1;10;1;22;6;5;45758;6;5;11.0;Graduate
1;10;1;19;6;4;45992;6;6;11.0;Graduate
12;11;0;26;6;0;0.0;6;0;0.0;Dropout
15;7;1;23;7;3;14.0;6;1;14.0;Enrolled
8;5;1;18;6;6;1,23333E+16;6;5;45879;Enrolled
1;9;1;22;5;5;1,06667E+16;5;2;11.0;Enrolled
9;7;1;19;5;5;1,18333E+16;5;5;1,47143E+16;Enrolled
8;9;1;20;5;0;0.0;5;0;0.0;Dropout
1;5;1;22;6;6;1,16667E+16;6;6;1,21667E+16;Enrolled
4;8;0;18;5;2;13.0;5;0;0.0;Dropout
14;17;1;39;2;0;0.0;4;0;0.0;Dropout
1;12;1;18;8;0;0.0;8;0;0.0;Dropout
8;7;1;18;5;5;13.0;5;5;45702;Graduate
1;10;1;19;6;6;1,38571E+16;6;6;14.0;Graduate
1;12;1;18;7;6;1,33917E+16;8;8;124875;Graduate
1;9;1;18;5;4;27729;5;0;0.0;Dropout
15;8;1;22;5;4;45791;5;5;45822;Graduate
1;10;1;19;6;6;1,21667E+16;6;6;1,21667E+16;Graduate
1;8;1;18;5;5;45762;5;5;45823;Dropout
12;7;0;31;5;2;1,33333E+16;5;2;16.0;Dropout
12;17;1;28;5;0;0.0;5;0;0.0;Dropout
1;5;1;19;6;0;0.0;6;0;0.0;Dropout
8;11;1;20;6;6;1,37143E+16;6;6;1,47143E+16;Graduate
12;10;1;50;6;4;45992;6;0;0.0;Dropout
14;5;1;38;6;5;16.0;6;4;45793;Enrolled
12;17;1;31;5;1;11.0;5;1;13.0;Dropout
12;12;1;27;7;7;1,40857E+16;7;7;1,40857E+16;Enrolled
9;10;1;21;6;6;1,01667E+16;6;6;45787;Graduate
12;7;1;34;5;1;10.0;5;0;0.0;Dropout
16;7;1;19;5;0;0.0;5;1;10.0;Enrolled
12;17;0;40;5;2;45787;5;3;1,06667E+16;Dropout
1;2;1;18;0;0;0.0;0;0;0.0;Graduate
12;5;0;46;6;0;0.0;6;0;0.0;Dropout
14;3;1;37;6;0;0.0;5;0;0.0;Dropout
12;4;1;31;6;0;0.0;6;0;0.0;Dropout
12;4;1;34;6;5;1,33333E+16;6;5;45759;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Dropout
1;14;1;18;6;6;1,35714E+16;6;6;1,43333E+16;Graduate
8;5;1;19;6;6;1,28333E+16;6;6;1,11667E+16;Graduate
14;17;1;40;5;4;45931;8;5;45699;Dropout
12;8;1;25;6;0;0.0;6;0;0.0;Dropout
8;7;1;20;5;4;45791;6;3;1,33333E+16;Dropout
8;7;1;20;5;5;45884;5;5;1,37143E+16;Enrolled
12;4;0;43;6;0;0.0;6;0;0.0;Dropout
8;7;1;18;5;4;45789;5;3;1,46667E+16;Enrolled
14;4;1;35;18;18;1,16667E+16;13;12;45788;Graduate
8;17;1;23;5;4;13.0;5;5;13.0;Graduate
8;12;1;19;7;7;1,21214E+15;9;8;1150625;Graduate
17;6;1;21;11;9;1,42222E+15;9;7;13.75;Graduate
14;14;1;19;6;4;45789;6;4;13.25;Enrolled
9;7;1;20;5;5;1,21667E+16;5;5;1,52857E+16;Graduate
12;14;1;30;6;0;0.0;6;0;0.0;Dropout
12;11;1;44;6;6;1,26667E+16;6;6;45788;Graduate
9;12;1;19;8;7;1,36143E+16;8;7;1,36143E+16;Graduate
15;8;1;22;18;12;1,28571E+16;12;10;45730;Graduate
1;8;1;18;5;4;14.0;5;5;45702;Graduate
8;14;1;21;6;4;14.75;6;5;45880;Graduate
1;6;1;18;6;0;0.0;6;0;0.0;Dropout
8;14;1;18;6;6;13625;6;6;1,42857E+16;Graduate
1;2;1;19;0;0;0.0;0;0;0.0;Graduate
15;4;1;21;6;4;45880;6;4;11875;Dropout
12;4;1;31;6;6;15125;6;6;45822;Graduate
8;11;1;21;6;4;45788;6;2;45787;Dropout
12;7;1;24;5;1;10.0;5;1;11.0;Enrolled
13;15;1;27;4;0;0.0;5;0;0.0;Dropout
1;9;1;20;5;3;1,03333E+16;5;5;45881;Graduate
15;7;1;22;5;0;0.0;5;2;1,16667E+16;Enrolled
1;4;1;19;6;4;12.0;6;4;45789;Enrolled
9;15;1;19;6;6;1,38333E+16;6;6;45791;Graduate
1;2;1;23;17;13;1,21538E+16;17;11;1,19091E+16;Enrolled
8;8;1;18;6;6;14.0;6;6;1,36667E+16;Graduate
1;15;0;29;6;6;45793;6;5;45882;Enrolled
12;8;1;29;5;1;18.0;5;3;1,33333E+16;Dropout
15;4;1;20;6;6;1,12857E+16;6;5;1,17778E+15;Enrolled
1;2;1;19;0;0;0.0;0;0;0.0;Graduate
8;2;1;22;0;0;0.0;0;0;0.0;Enrolled
1;14;1;20;6;5;14.0;6;6;12.0;Enrolled
12;8;1;24;5;4;13.75;5;3;12.0;Enrolled
1;14;0;21;6;4;13.25;6;5;11.0;Dropout
12;9;1;25;5;4;14.25;5;4;14.75;Graduate
12;9;0;32;5;0;0.0;5;0;0.0;Dropout
14;17;0;26;12;8;45962;8;3;1,13333E+16;Dropout
1;8;1;18;6;6;45790;6;6;45789;Graduate
8;11;1;19;6;5;1,26667E+16;6;6;1,28571E+16;Graduate
1;5;1;19;6;6;1,51667E+16;6;6;1,23333E+16;Graduate
4;7;1;27;6;6;1,31667E+16;5;5;1,51429E+16;Dropout
17;4;1;21;12;10;45880;12;9;1,14444E+16;Enrolled
8;7;1;20;5;4;45788;5;0;0.0;Enrolled
15;5;1;21;6;6;45791;6;6;1,13333E+16;Graduate
1;15;1;22;6;5;45760;6;3;1,06667E+16;Enrolled
1;2;0;19;0;0;0.0;0;0;0.0;Graduate
8;9;1;18;5;4;45879;5;2;45789;Dropout
12;10;1;28;5;0;0.0;5;0;0.0;Dropout
12;4;0;25;10;6;1,14286E+16;7;4;12.0;Dropout
14;4;1;25;14;8;45789;13;10;45819;Dropout
1;9;1;18;5;2;45790;5;3;1,23333E+16;Enrolled
1;11;1;26;6;0;0.0;6;0;0.0;Dropout
8;9;1;18;5;5;27729;5;5;45788;Graduate
14;15;1;22;6;3;1,13333E+16;6;3;1,23333E+16;Enrolled
12;4;1;25;6;0;0.0;6;0;0.0;Dropout
1;15;1;19;6;5;45758;6;5;45759;Enrolled
8;15;1;19;6;6;1,44286E+16;6;6;1,45714E+16;Graduate
8;12;1;19;7;7;1,24929E+16;8;8;117125;Graduate
12;3;1;45;8;4;45788;8;4;11.0;Dropout
12;17;1;52;5;5;45699;5;5;45881;Graduate
1;9;0;20;5;3;12.0;5;3;11.0;Dropout
1;12;1;19;8;7;1,58857E+16;8;7;1,58857E+16;Graduate
1;12;0;21;7;4;34669;7;4;21490;Dropout
12;3;0;35;6;6;14.0;6;6;1,41667E+16;Graduate
12;2;1;36;0;0;0.0;0;0;0.0;Graduate
12;12;0;47;7;0;0.0;8;0;0.0;Dropout
9;17;1;22;5;0;0.0;5;0;0.0;Dropout
12;17;1;41;5;4;45962;5;3;11.0;Dropout
4;7;1;26;5;0;0.0;5;0;0.0;Dropout
12;3;0;51;6;4;45962;6;0;0.0;Dropout
12;17;1;43;5;3;1,06667E+16;5;4;45789;Enrolled
12;3;1;41;6;5;45880;6;3;1,06667E+16;Graduate
14;9;1;23;10;8;11625;10;10;1,11818E+16;Graduate
14;10;1;22;6;0;0.0;5;0;0.0;Dropout
8;5;1;25;6;4;45931;6;4;45962;Dropout
14;17;1;25;15;15;45879;14;14;1,13571E+16;Graduate
17;2;0;22;12;11;1,25455E+16;11;11;1,26667E+16;Graduate
12;4;1;24;7;7;1,35714E+16;6;5;45760;Enrolled
12;6;1;47;6;0;0.0;6;0;0.0;Dropout
12;17;1;41;5;0;0.0;5;0;0.0;Dropout
12;4;1;43;6;6;1,47778E+15;6;5;45700;Graduate
12;4;1;29;3;0;0.0;4;0;0.0;Dropout
12;7;1;30;2;0;0.0;2;0;0.0;Dropout
12;9;0;26;4;0;0.0;5;0;0.0;Dropout
12;17;0;27;5;0;0.0;5;0;0.0;Dropout
12;14;1;36;5;5;45758;5;5;45819;Graduate
12;4;1;29;9;6;1,16667E+16;7;6;1,08571E+16;Dropout
13;7;1;35;10;7;1,12857E+16;8;5;13.0;Dropout
1;15;1;18;6;4;45788;6;5;45820;Graduate
1;17;1;24;5;5;16.0;5;5;16.0;Graduate
1;15;1;18;6;6;45789;6;6;1,26667E+16;Dropout
8;7;1;18;5;4;12.0;5;3;13.0;Enrolled
14;6;1;21;5;0;0.0;5;3;1,16667E+16;Enrolled
13;7;1;21;5;5;13.0;5;5;45820;Graduate
12;4;1;32;18;13;1,37143E+16;12;12;1,20833E+16;Graduate
1;7;1;22;5;3;1,23333E+16;6;3;45789;Dropout
4;4;0;32;17;11;1,27273E+16;12;10;45850;Dropout
14;14;1;35;5;1;14.0;5;0;0.0;Dropout
9;9;0;23;5;0;0.0;5;0;0.0;Dropout
12;3;1;39;6;5;45758;6;3;11.0;Enrolled
14;14;1;35;5;0;0.0;5;1;10.0;Dropout
12;4;1;32;6;6;18875;12;12;1,76923E+16;Graduate
1;16;1;20;6;0;0.0;6;0;0.0;Dropout
12;12;1;34;7;6;1,13333E+16;7;4;45820;Enrolled
4;17;1;44;7;7;45790;5;5;45704;Dropout
12;11;1;53;11;2;15.0;9;3;10.0;Graduate
12;7;0;28;5;0;0.0;5;0;0.0;Dropout
4;17;1;31;9;9;1,42222E+15;5;5;45881;Dropout
1;2;0;18;0;0;0.0;0;0;0.0;Enrolled
12;4;0;44;7;4;12.0;6;0;0.0;Dropout
1;6;1;19;5;5;45820;5;4;12.0;Graduate
6;2;1;21;12;12;1,50833E+16;11;11;1,30833E+16;Enrolled
9;7;1;18;5;0;0.0;5;0;0.0;Dropout
15;4;1;20;6;6;45791;6;6;45731;Graduate
12;5;1;55;6;6;45791;6;6;45790;Graduate
1;9;1;27;5;3;10.0;5;1;13.0;Enrolled
8;7;1;19;5;0;0.0;5;0;0.0;Dropout
1;9;1;18;5;5;45819;5;5;45701;Graduate
12;15;1;43;6;4;27699;6;0;0.0;Dropout
9;11;1;18;6;0;0.0;6;0;0.0;Dropout
1;2;1;18;0;0;0.0;0;0;0.0;Dropout
8;11;1;20;6;0;0.0;6;0;0.0;Dropout
12;17;0;29;5;4;45962;5;4;45880;Dropout
12;8;1;44;6;5;1,15714E+16;6;0;0.0;Dropout
1;7;1;18;5;4;10.0;5;1;16.0;Enrolled
15;4;1;20;6;5;1,38333E+16;6;6;45728;Enrolled
14;5;1;20;6;4;27729;9;3;1,26667E+16;Dropout
12;9;1;36;4;0;0.0;5;0;0.0;Dropout
15;8;1;19;6;5;45819;6;2;11.0;Enrolled
12;6;0;29;5;0;0.0;5;0;0.0;Dropout
1;14;1;18;6;4;45962;6;3;1,03333E+16;Dropout
12;4;0;24;6;0;0.0;6;0;0.0;Dropout
1;15;1;20;6;6;1,43333E+16;6;6;15.0;Graduate
12;3;0;45;6;0;0.0;5;0;0.0;Dropout
14;12;1;28;23;20;45790;23;20;45790;Graduate
1;11;1;23;6;6;1,26667E+16;6;5;45700;Enrolled
1;12;1;18;7;7;1,24443E+16;8;7;1,13471E+16;Graduate
1;9;1;23;5;3;1,06667E+16;5;3;1,13333E+16;Dropout
14;2;1;22;0;0;0.0;0;0;0.0;Enrolled
1;5;1;22;6;6;1,26667E+16;6;5;45759;Graduate
12;17;1;33;5;5;45701;5;5;1,48333E+16;Graduate
17;4;1;21;12;10;45850;12;11;1,21818E+16;Graduate
12;9;1;45;5;5;1,48333E+16;5;5;45883;Graduate
12;4;0;44;10;4;45788;7;1;12.0;Dropout
12;14;1;42;6;0;0.0;6;0;0.0;Dropout
9;9;1;20;5;0;0.0;5;0;0.0;Dropout
8;9;1;20;5;3;1,26667E+16;5;2;45789;Enrolled
1;11;1;20;6;6;1,47143E+16;6;6;45789;Graduate
8;15;1;20;6;3;1,36667E+16;6;4;45931;Enrolled
1;9;1;19;5;5;45879;5;2;45790;Enrolled
16;3;0;26;8;4;45787;10;7;1,04286E+16;Dropout
12;4;1;31;6;6;15.0;6;5;45789;Graduate
1;15;1;19;6;6;1,26667E+16;6;6;14.0;Graduate
12;15;1;28;6;6;1,31667E+16;6;6;1,36667E+16;Graduate
1;2;1;20;0;0;0.0;0;0;0.0;Graduate
1;3;1;43;6;6;13.0;6;6;45789;Graduate
12;2;1;25;0;0;0.0;0;0;0.0;Dropout
12;10;1;40;6;2;10.0;6;1;15.0;Dropout
15;6;1;20;6;6;1,33333E+16;6;5;13375;Graduate
12;3;1;46;6;3;1,23333E+16;6;6;1,33333E+16;Graduate
16;1;1;26;21;20;1,31818E+16;14;14;1,16429E+16;Graduate
12;12;1;34;7;6;1,25133E+16;8;7;1,30714E+16;Graduate
9;16;1;19;6;0;0.0;6;0;0.0;Dropout
1;12;1;18;8;7;1,35857E+16;8;7;1,35857E+16;Graduate
1;13;1;18;7;7;1,11556E+16;8;8;11425;Graduate
12;3;1;37;7;6;1,18571E+16;6;5;12.0;Graduate
8;2;1;23;0;0;0.0;0;0;0.0;Graduate
14;5;1;26;14;14;14.0;13;13;1,36154E+16;Graduate
5;15;0;18;6;5;12.0;6;0;0.0;Dropout
6;12;1;18;7;4;11575;7;5;1,242E+16;Enrolled
8;12;1;19;7;7;1,31986E+16;8;8;130625;Graduate
5;6;1;18;6;6;45790;6;6;12.0;Graduate
1;14;1;19;6;6;1,33333E+16;6;5;45881;Dropout
8;7;1;20;5;4;14.25;5;1;10.0;Enrolled
8;5;1;22;6;6;1,21667E+16;6;4;12.0;Graduate
1;12;1;18;8;7;1,22143E+16;8;7;1,22143E+16;Graduate
8;11;1;18;6;6;1,26667E+16;6;6;13.0;Graduate
1;15;1;18;6;6;1,22857E+16;6;6;45790;Graduate
1;11;1;18;6;6;13.0;6;6;13.0;Graduate
1;11;1;18;6;6;1,21429E+16;6;6;1,11667E+16;Graduate
8;12;1;19;7;7;1,38757E+16;8;7;1,30857E+16;Graduate
8;16;1;20;6;0;0.0;6;0;0.0;Dropout
8;10;1;19;6;6;1,16667E+16;6;0;0.0;Dropout
1;6;1;18;6;6;1,31538E+16;6;3;11.0;Graduate
1;5;1;18;6;6;45791;6;6;1,28333E+16;Dropout
8;12;1;18;7;7;1,44414E+15;8;8;1365625;Graduate
8;15;1;18;6;6;1,51667E+16;6;6;1,42857E+16;Graduate
8;9;1;18;5;5;45819;5;4;12625;Graduate
8;15;1;18;6;6;1,16667E+16;6;6;1,23333E+16;Graduate
15;4;1;20;6;6;12625;6;6;45701;Graduate
7;10;1;19;6;3;1,26667E+16;6;6;11.0;Graduate
8;8;1;18;6;6;1,28333E+16;6;6;13.0;Enrolled
1;10;1;19;6;6;1,18571E+16;6;6;1,31429E+16;Graduate
8;16;1;19;6;5;45758;6;4;27668;Enrolled
14;8;1;19;5;5;1,48571E+16;5;5;1,51429E+16;Enrolled
1;14;1;19;6;6;1,47143E+16;6;6;1,58333E+16;Graduate
6;14;1;20;6;6;45790;6;5;13.0;Graduate
9;8;1;18;5;4;45788;5;5;45759;Graduate
4;9;1;33;5;2;14.0;5;0;0.0;Dropout
1;16;1;19;7;6;1,28333E+16;6;0;0.0;Dropout
8;13;1;18;7;7;1,34286E+16;8;8;14.75;Graduate
8;5;1;19;6;0;0.0;6;0;0.0;Dropout
15;4;1;19;6;3;1,16667E+16;6;4;45788;Enrolled
1;15;1;18;6;6;16.0;6;6;1,43333E+16;Graduate
1;10;1;20;6;6;1,38333E+16;6;6;1,18333E+16;Graduate
1;12;1;19;8;8;132325;8;8;132325;Graduate
1;15;1;18;6;6;14.0;6;6;1,41667E+16;Graduate
8;11;1;19;6;2;10.0;6;0;0.0;Dropout
14;3;1;25;16;15;1,33333E+16;13;11;1,22727E+16;Graduate
8;5;1;20;6;6;45789;6;6;1,43333E+16;Enrolled
1;3;1;19;6;6;45789;6;6;45788;Graduate
8;17;1;33;5;2;45787;5;0;0.0;Dropout
9;7;1;18;5;3;1,06667E+16;5;3;1,13333E+16;Enrolled
1;7;1;18;5;4;45787;5;2;45787;Enrolled
6;9;1;19;5;4;12.0;5;5;45758;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Enrolled
14;9;1;19;5;5;45788;5;2;1,06667E+16;Enrolled
1;15;1;18;6;6;14.0;6;6;45790;Dropout
8;16;1;18;6;6;45790;6;5;45820;Graduate
1;12;1;18;8;8;1307375;8;8;1307375;Graduate
12;12;1;37;7;2;27668;7;0;0.0;Dropout
1;10;1;20;6;1;12.0;5;0;0.0;Enrolled
1;11;1;20;6;6;14.0;6;6;1,33333E+16;Graduate
6;10;1;21;6;6;1,23333E+16;6;6;1,34286E+16;Graduate
8;12;1;18;7;7;1,34643E+16;8;8;1,47889E+16;Graduate
12;3;1;26;6;3;1,06667E+16;6;5;45699;Enrolled
12;9;1;41;5;5;45819;5;5;45700;Enrolled
1;15;1;18;6;6;1,36667E+16;6;6;1,46667E+16;Graduate
1;12;1;18;8;8;144025;8;8;144025;Graduate
1;12;1;31;7;7;1546875;8;8;163875;Graduate
1;10;1;23;6;6;12625;6;6;1,41667E+16;Graduate
1;12;1;19;7;6;1,49833E+16;7;6;1,49833E+16;Graduate
7;15;1;20;6;6;15.0;6;6;13.0;Graduate
12;3;1;40;9;9;1,58889E+15;7;7;1,41429E+16;Graduate
15;6;1;32;6;4;45788;6;3;11.0;Dropout
1;11;1;24;6;2;45787;6;1;10.0;Dropout
8;12;1;18;7;6;1,39833E+16;7;6;1,39833E+16;Graduate
1;10;1;18;6;6;13.0;6;6;1,28333E+16;Graduate
1;10;1;18;6;6;1,36667E+16;6;6;13.0;Graduate
12;4;0;27;6;0;0.0;6;0;0.0;Dropout
1;9;1;18;5;5;45761;5;5;45762;Graduate
12;17;1;26;5;4;12.0;5;4;45962;Enrolled
1;16;1;19;6;6;1,41667E+16;6;6;1,36667E+16;Graduate
8;3;1;19;6;5;45700;6;6;12.0;Graduate
9;9;1;21;5;3;12.0;5;3;1,26667E+16;Enrolled
1;9;1;24;5;2;45787;5;1;11.0;Enrolled
8;16;1;20;6;3;1,23333E+16;6;2;45787;Dropout
1;16;1;18;6;5;45700;6;5;45700;Enrolled
12;4;1;30;6;0;0.0;6;0;0.0;Dropout
1;16;0;22;7;6;45788;7;6;1,31667E+16;Enrolled
4;9;1;21;9;9;1,08889E+15;10;10;1,16154E+16;Graduate
12;13;1;26;7;6;1,21667E+16;8;8;11675;Dropout
8;9;1;23;5;2;10.0;5;1;12.0;Enrolled
8;5;1;18;6;6;1,26667E+16;6;6;1,21667E+16;Graduate
1;5;1;21;6;5;45758;6;5;45700;Dropout
14;2;1;18;0;0;0.0;0;0;0.0;Dropout
8;6;1;21;5;2;13.0;5;4;12.0;Enrolled
8;16;1;18;6;5;45760;6;5;12.0;Enrolled
8;16;1;19;6;6;45790;6;5;45881;Dropout
8;11;1;22;6;4;45992;6;3;1,13333E+16;Enrolled
1;10;1;19;6;6;1,22857E+16;6;6;1,28333E+16;Graduate
1;6;0;19;5;0;0.0;5;0;0.0;Dropout
8;10;1;19;6;2;45787;6;1;13.0;Dropout
15;6;1;27;5;3;14.0;5;5;12.0;Graduate
5;6;1;22;5;5;45702;5;5;45700;Graduate
1;15;1;18;6;5;13.0;6;6;1,31429E+16;Dropout
8;11;1;20;6;6;11.0;6;4;27729;Graduate
14;17;1;34;8;3;11.0;7;2;10.0;Dropout
8;12;1;18;7;6;1,23857E+16;8;8;1,37556E+16;Graduate
8;15;1;20;6;4;14.75;6;4;45992;Graduate
1;8;1;20;5;5;1,61667E+16;5;5;1,58333E+16;Graduate
12;17;1;25;5;0;0.0;5;0;0.0;Dropout
1;7;1;18;5;5;45759;5;3;13.0;Dropout
1;8;0;18;6;5;45819;6;4;13.0;Dropout
8;16;1;18;6;5;45700;6;0;0.0;Dropout
8;11;1;19;6;5;11.0;6;5;45881;Graduate
8;16;1;19;6;6;1,23333E+16;6;5;45759;Dropout
15;10;1;21;6;6;1,48333E+16;6;6;1,25714E+16;Graduate
13;5;1;29;10;9;1,15556E+16;11;10;45911;Enrolled
1;5;1;20;6;6;12.0;6;6;1,18333E+16;Graduate
16;3;1;21;13;11;1,27273E+16;11;10;45820;Graduate
14;17;1;34;2;2;45787;1;1;11.0;Dropout
1;15;1;20;6;6;1,23333E+16;6;6;12.0;Graduate
12;17;1;24;5;0;0.0;5;1;12.0;Dropout
1;12;1;18;7;7;1,48429E+16;8;8;1,43889E+15;Graduate
1;12;1;19;7;7;45700;7;7;45700;Enrolled
1;9;1;18;5;4;45879;5;4;27699;Enrolled
12;17;1;28;5;4;27729;5;5;1,43333E+16;Enrolled
12;17;1;28;5;2;11.0;5;1;12.0;Dropout
8;11;1;20;6;4;27668;6;0;0.0;Dropout
14;12;1;22;8;8;1255375;8;8;1255375;Graduate
1;12;1;19;8;7;1,26657E+16;8;7;1,26657E+16;Graduate
1;14;1;20;6;6;1,27143E+16;6;4;13.0;Enrolled
12;13;1;26;7;2;27699;5;0;0.0;Dropout
1;11;0;21;6;3;11.0;6;0;0.0;Dropout
7;2;1;18;0;0;0.0;0;0;0.0;Graduate
8;9;1;18;5;5;45760;5;5;45700;Graduate
1;2;1;22;17;17;1,25789E+16;17;17;1,21176E+16;Graduate
12;7;1;36;5;0;0.0;5;0;0.0;Dropout
1;15;1;20;6;6;12.0;6;6;45788;Graduate
8;14;1;20;6;3;1,23333E+16;6;0;0.0;Dropout
12;17;1;25;5;4;45788;5;3;45790;Dropout
12;4;1;35;6;5;45881;6;5;1,38333E+16;Graduate
1;2;1;22;0;0;0.0;0;0;0.0;Dropout
14;5;1;26;7;7;1,32857E+16;8;7;1,21429E+16;Enrolled
15;4;0;20;6;4;45880;6;2;12.0;Dropout
14;3;1;50;13;6;1,13333E+16;11;2;45790;Dropout
1;12;1;20;8;5;12002;8;5;12002;Dropout
1;12;1;20;7;5;1,39767E+16;8;8;1,32222E+15;Enrolled
4;4;0;35;6;5;45703;6;1;11.0;Dropout
1;14;1;19;6;6;1,31429E+16;6;6;1,41667E+16;Graduate
12;9;1;43;5;0;0.0;5;0;0.0;Dropout
8;12;1;19;8;7;1,38671E+16;8;7;1,38671E+16;Graduate
12;12;1;25;8;6;12675;8;6;12675;Graduate
7;2;1;19;0;0;0.0;0;0;0.0;Graduate
8;16;1;20;6;6;12.0;6;6;45789;Enrolled
1;2;1;22;0;0;0.0;0;0;0.0;Dropout
1;11;1;19;6;6;11.0;6;5;45700;Dropout
12;17;1;32;5;4;27668;5;4;1,13333E+16;Dropout
12;15;1;57;6;5;45702;6;6;1,41667E+16;Graduate
1;12;0;20;7;4;45820;7;4;11575;Dropout
12;17;0;38;5;0;0.0;5;0;0.0;Dropout
12;17;1;45;5;5;14.0;5;5;1,41667E+16;Graduate
12;15;0;43;6;2;10.0;6;4;45992;Dropout
